Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-02-24;16.844;17.2167;16.68;17.1333;121794075
2017-02-27;16.5447;16.5573;16.134;16.4153;168195495
2017-02-28;16.2793;16.7333;16.26;16.666;89202630
2017-03-01;16.9453;16.99;16.6073;16.668;71692410
2017-03-02;16.6473;16.8853;16.5513;16.6987;49825665
2017-03-03;16.716;16.7933;16.6;16.7713;43617600
2017-03-06;16.5273;16.78;16.5007;16.7473;49308435
2017-03-07;16.7947;16.926;16.5547;16.5727;50127600
2017-03-08;16.4667;16.6713;16.3547;16.4553;54655065
2017-03-09;16.5087;16.5773;16.2;16.3267;57780780
2017-03-10;16.414;16.4333;16.2;16.246;45145755
2017-03-13;16.2927;16.4567;16.1853;16.4113;45339375
2017-03-14;16.4073;17.208;16.4013;17.2;113976690
2017-03-15;17.1333;17.4;16.9513;17.0487;79962090
2017-03-16;17.4933;17.7167;17.2707;17.47;106982295
2017-03-17;17.6;17.6887;17.4133;17.4333;88687155
2017-03-20;17.3733;17.6367;17.2547;17.4613;54214410
2017-03-21;17.522;17.6533;16.6827;16.712;103628310
2017-03-22;16.7707;17.0047;16.7007;17.0007;60889455
2017-03-23;17.026;17.178;16.8867;16.9853;49803675
2017-03-24;17.0467;17.5927;17.0007;17.544;82986210
2017-03-27;17.3733;18.038;17.3167;18.0147;91345575
2017-03-28;18.468;18.712;18.3333;18.4967;116716695
2017-03-29;18.556;18.64;18.3693;18.492;53441850
2017-03-30;18.536;18.8;18.4807;18.528;60999045
2017-03-31;18.582;18.6453;18.4213;18.5533;48369315
2017-04-03;19.1267;19.9333;18.972;19.9013;208329270
2017-04-04;19.7927;20.3207;19.6353;20.2453;149628735
2017-04-05;20.136;20.3253;19.6133;19.6667;116728005
2017-04-06;19.792;20.1293;19.6067;19.9133;81752640
2017-04-07;19.8333;20.1793;19.81;20.1693;68694195
2017-04-10;20.61;20.9153;20.5807;20.826;113738805
2017-04-11;20.892;20.898;20.3667;20.5807;85868655
2017-04-12;20.4227;20.5633;19.7547;19.7893;88885245
2017-04-13;19.78;20.4927;19.6867;20.2667;137626920
2017-04-17;20.18;20.2667;19.912;20.096;60804855
2017-04-18;19.98;20.056;19.86;20.0167;43021305
2017-04-19;20.164;20.4413;20.1407;20.368;56120040
2017-04-20;20.434;20.61;20.0153;20.1673;88472025
2017-04-21;20.1333;20.4267;20.028;20.3733;66306765
2017-04-24;20.6147;20.7033;20.4013;20.5353;76177950
2017-04-25;20.5333;20.932;20.3907;20.9193;101024505
2017-04-26;20.8247;20.9667;20.6;20.678;70336470
2017-04-27;20.7793;20.8727;20.5;20.5753;51949020
2017-04-28;20.6553;20.9867;20.5333;20.938;67582170
2017-05-01;20.992;21.8167;20.9873;21.522;132316590
2017-05-02;21.6;21.844;21.104;21.2593;79769085
2017-05-03;21.178;21.4353;20.6967;20.7347;103596930
2017-05-04;20.4957;20.518;19.384;19.6973;212077935
2017-05-05;19.8667;20.57;19.7867;20.5567;122660205
2017-05-08;20.7267;20.9193;20.388;20.4793;105052020
2017-05-09;20.6253;21.466;20.6067;21.4173;144970935
2017-05-10;21.4373;21.7;21.208;21.6813;86028675
2017-05-11;21.56;21.7333;21.3067;21.54;71215695
